timezone,lat,long
Phoenix,33.448377,-112.074037
Chihuahua,28.632996,-106.0691
Denver,39.739236,-104.990251
Costa Rica,9.748917,-83.753428
Chicago,41.878114,-87.629798
Mexico City,19.432608,-99.133208
Regina,50.445211,-104.618894
Bogota,4.710989,-74.072092
New York,40.712784,-74.005941
Midway,40.512177,-111.474355
Honolulu,21.306944,-157.858333
Anchorage,61.218056,-149.900278
Los Angeles,34.052234,-118.243685
Tijuana,32.514947,-117.038247
Caracas,10.480594,-66.903606
Barbados,13.193887,-59.543198
Halifax,53.72702,-1.85754
Manaus,-3.119028,-60.021731
Santiago,42.878213,-8.544844
St John's,17.12741,-61.846772
Sao Paulo,-23.55052,-46.633309
Nuuk,64.18141,-51.694138
Montevideo,-34.901113,-56.164531
South Georgia,32.165622,-82.900075
Azores,37.741249,-25.675594
Cape Verde,15.120142,-23.605172
Casablanca,33.57311,-7.589843
Amsterdam,52.370216,4.895168
Belgrade,44.786568,20.448922
Brussels,50.85034,4.35171
Sarajevo,43.856259,18.413076
Windhoek,-22.560881,17.065755
Brazzaville,-4.26336,15.242885
Amman,31.956578,35.945695
Athens,37.983917,23.72936
Beirut,33.888629,35.495479
Cairo,30.04442,31.235712
Helsinki,60.173324,24.941025
Jeruslem,31.768319,35.21371
Harare,-17.825166,31.03351
Minsk,53.90454,27.561524
Baghdad,33.312806,44.361488
Moscow,55.755826,37.6173
Kuwait,29.31166,47.481766
Nairobi,-1.292066,36.821946
Tehran,35.689197,51.388974
Baku,40.409262,49.867092
Tbilisi,41.715138,44.827096
Yerevan,40.179186,44.499103
Dubai,25.204849,55.270783
Kabul,34.555349,69.207486
Karachi,24.861462,67.009939
Oral,43.405288,-103.267586
Yekaterinburg,56.838926,60.605703
Kolkata,22.572646,88.363895
Colombo,6.927079,79.861243
Kathmandu,27.717245,85.32396
Almaty,43.222015,76.851248
Rangoon,16.866069,96.195132
Krasnoyarsk,56.015283,92.893248
Bangkok,13.756331,100.501765
Jakarta,-6.208763,106.845599
Shanghai,31.230416,121.473701
Hong Kong,22.396428,114.109497
Irkutsk,52.286974,104.305018
Kuala Lumpur,3.139003,101.686855
Perth,-31.953513,115.857047
Taipei,25.032969,121.565418
Seoul,37.566535,126.977969
Tokyo,35.689487,139.691706
Yakutsk,62.035452,129.675475
Adelaide,-34.928621,138.599959
Darwin,-12.462827,130.841777
Brisbane,-27.471011,153.023449
Hobart ,-42.881903,147.323815
Sydney,-33.867487,151.20699
Vladivostok,43.173739,132.006451
Guam,13.444304,144.793731
Magadan,59.561152,150.830141
Majuro,7.116421,171.185774
Auckland,-36.84846,174.763332
Fiji,-17.713371,178.065032
Tongatapu,-21.146597,-175.251548
