timezone,Lat,Long
Abu Dhabi,24.299174,54.697277
Adelaide,-34.928621,138.599959
Almaty,43.222015,76.851248
Amman,31.956578,35.945695
Amsterdam,52.370216,4.895168
Arizona,34.048928,-111.093731
Astana,51.160523,71.470356
Anchorage,61.218056,-149.900278
Athens,37.983917,23.72936
Atlantic Time (Canada),56.130366,-106.346771
Auckland,-36.84846,174.763332
Azores,37.741249,-25.675594
Baghdad,33.312806,44.361488
Baku,40.409262,49.867092
Bangkok,13.756331,100.501765
Beijing,39.904211,116.407395
Barbados,13.193887,-59.543198
Beirut,33.888629,35.495479
Belgrade,44.786568,20.448922
Berlin,52.520007,13.404954
Bern,46.947974,7.447447
Bogota,4.710989,-74.072092
Brasilia,-14.235004,-51.92528
Bratislava,48.145892,17.107137
Brazzaville,-4.26336,15.242885
Brisbane,-27.471011,153.023449
Brussels,50.85034,4.35171
Bucharest,44.426767,26.102538
Budapest,47.497912,19.040235
Buenos Aires,-34.603684,-58.381559
Cairo,30.04442,31.235712
Canberra,-35.282,149.128684
Cape Verde,15.120142,-23.605172
Caracas,10.480594,-66.903606
Casablanca,33.57311,-7.589843
Central America,12.769013,-85.602364
Central Time (US & Canada),47.885289,-97.073621
Chennai,13.08268,80.270718
Chicago,41.878114,-87.629798
Chihuahua,28.632996,-106.0691
Colombo,6.927079,79.861243
Costa Rica,9.748917,-83.753428
Chongqing,29.56301,106.551557
Copenhagen,55.676097,12.568337
Darwin,-12.462827,130.841777
Dhaka,23.810332,90.412518
Dublin,53.349805,-6.26031
Denver,39.739236,-104.990251
Dubai,25.204849,55.270783
Eastern Time (US & Canada),37.09024,-95.712891
Edinburgh,55.953252,-3.188267
Ekaterinburg,56.838926,60.605703
Fiji,-17.713371,178.065032
Georgetown,30.633262,-97.677984
Greenland,71.706936,-42.604303
Guadalajara,20.659699,-103.349609
Guam,13.444304,144.793731
Halifax,53.72702,-1.85754
Hanoi,21.027764,105.83416
Harare,-17.825166,31.03351
Hawaii,19.896766,-155.582782
Helsinki,60.173324,24.941025
Hobart ,-42.881903,147.323815
Hong Kong,22.396428,114.109497
Honolulu,21.306944,-157.858333
Indiana (East),40.267194,-86.134902
International Date Line West,0,-169.859467
Irkutsk,52.286974,104.305018
Islamabad,33.729388,73.093146
Istanbul,41.008238,28.978359
Jakarta,-6.208763,106.845599
Jeruslem,31.768319,35.21371
Kabul,34.555349,69.207486
Kamchatka,61.434398,166.788413
Karachi,24.861462,67.009939
Kathmandu,27.717245,85.32396
Kolkata,22.572646,88.363895
Krasnoyarsk,56.015283,92.893248
Kuala Lumpur,3.139003,101.686855
